starttime	seconds	ctime	dtime	ttime	wait
Tue Dec 30 18:35:03 2025	1767099903	1	1	2	1
Tue Dec 30 18:35:03 2025	1767099903	0	4	4	3
Tue Dec 30 18:35:03 2025	1767099903	0	4	4	4
Tue Dec 30 18:35:03 2025	1767099903	0	4	4	4
Tue Dec 30 18:35:03 2025	1767099903	1	4	5	4
Tue Dec 30 18:35:03 2025	1767099903	1	4	5	4
Tue Dec 30 18:35:03 2025	1767099903	1	4	5	4
Tue Dec 30 18:35:03 2025	1767099903	1	4	5	4
Tue Dec 30 18:35:03 2025	1767099903	1	4	5	4
Tue Dec 30 18:35:03 2025	1767099903	1	4	5	4
